Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
581,35,144,0.746013204338953,0.815222131500422,12.6,15.2291666666667,24.1404840791007,17.081108776811
582,34,154,0.778570371194388,0.793114280889402,13.9117647058824,14.6298701298701,26.0265777175107,16.9167201846649
583,35,145,0.755801206151575,0.800695681019667,10.7142857142857,15.7379310344828,23.4377396034953,18.0769542989772
584,37,149,0.757386208322885,0.804862921725664,10.6486486486486,15.8859060402685,23.2729588122546,18.3221797614226
585,37,142,0.756583103199595,0.807587775742358,10.972972972973,16.1267605633803,23.2458515224063,17.7101832260209
586,37,135,0.778396963633021,0.817719806977825,11.1081081081081,16.6148148148148,24.482313599881,18.5679440227159
587,35,142,0.795005629411908,0.802147617430797,12.1142857142857,15.8239436619718,25.7650684401912,17.8368886193572
588,35,150,0.78787051579863,0.801342317447866,12.6285714285714,15.22,25.7408335143866,17.4268185085949
589,39,150,0.743584330365418,0.803469528785962,11.7435897435897,15.2266666666667,23.4184705153612,17.9070114295366
590,36,151,0.771869286666491,0.803969972566388,13.3611111111111,15.0662251655629,24.9220224950744,17.9176987935146
591,39,157,0.74921879436142,0.792478817267872,12.2820512820513,14.2165605095541,23.5874368431732,17.071886819909
592,36,152,0.746967529913365,0.799464061167336,11.9722222222222,14.5197368421053,23.5560032602965,17.2785634816426
593,33,156,0.769030427027305,0.799916143338294,10.6666666666667,14.3205128205128,23.5578716822823,16.8131487266589
594,32,155,0.791861589022856,0.797330818660776,11.03125,14.6709677419355,24.9787498230891,16.5007791905618
595,33,145,0.80535697858818,0.799358014614896,11.6666666666667,15.8620689655172,26.3173462577144,17.3268362259807
596,38,138,0.739547807162904,0.810908266514567,10.7368421052632,16.7028985507246,22.9046631931559,18.2423090545887
597,38,148,0.766202287602731,0.797590291273524,11.6578947368421,15.1216216216216,24.0891534913186,17.0805203773665
598,37,145,0.749375351119376,0.795045420519947,11.8648648648649,15.2068965517241,23.2042643840846,17.0003200693568
599,35,151,0.767830639585502,0.796140251436974,13.0571428571429,14.8476821192053,24.187636577558,16.3647120254523
600,41,165,0.697314288425336,0.774739327699373,10.8048780487805,13.9030303030303,21.5580256586333,16.4541482855094
601,57,173,0.636900852598265,0.776764984014721,7.57894736842105,13.3410404624277,17.8973383992021,16.5778503575943
602,57,182,0.711254333201337,0.792127599816497,7.03508771929825,12.956043956044,20.7932656175753,17.4379805873679
603,67,192,0.725112226505684,0.782226304517779,6.83582089552239,12.7708333333333,21.6069586496509,18.3946275989297
604,69,206,0.733539331399241,0.782806727247215,6.73913043478261,12.4611650485437,22.3296792319323,19.4722809192859
605,74,222,0.744399123472261,0.780077116228697,6.44594594594595,12.1891891891892,22.2849432871751,20.1615769261123
606,82,231,0.749442719366894,0.779575623325419,6.25609756097561,12.012987012987,22.5730932132645,20.7722918543196
607,86,235,0.77330621511244,0.773401671893494,6.73255813953488,11.8297872340426,23.6908898688261,21.2223046213496
608,98,249,0.754876935994316,0.762344663177446,6.58163265306122,11.7510040160643,22.8633118960129,22.3433601729037
609,99,267,0.757021501875583,0.751358415708627,6.88888888888889,11.2734082397004,22.8396788774446,22.8838707406125
